sku_id,source_asset_id,duplicate_group_id,split
SKU001,A001_1,DUP_1,val
SKU002,A002_1,DUP_2,train
SKU003,A003_1,DUP_3,test
SKU004,A004_1,DUP_4,test
SKU005,A005_1,DUP_5,test
SKU005,A005_2,DUP_5,test
SKU006,A006_1,DUP_6,train
SKU007,A007_1,DUP_6,train
SKU008,A008_1,DUP_8,train
SKU009,A009_1,DUP_9,test
SKU010,A010_1,DUP_10,train
SKU010,A010_2,DUP_10,train
SKU011,A011_1,DUP_11,train
SKU012,A012_1,DUP_12,train
SKU013,A013_1,DUP_13,train
SKU014,A014_1,DUP_13,train
SKU015,A015_1,DUP_15,train
SKU015,A015_2,DUP_15,train
SKU016,A016_1,DUP_16,val
SKU017,A017_1,DUP_17,train
SKU018,A018_1,DUP_18,train
SKU019,A019_1,DUP_19,train
SKU020,A020_1,DUP_20,train
SKU020,A020_2,DUP_20,train
SKU021,A021_1,DUP_20,train
SKU022,A022_1,DUP_22,train
SKU023,A023_1,DUP_23,train
SKU024,A024_1,DUP_24,val
SKU025,A025_1,DUP_25,val
SKU025,A025_2,DUP_25,val
SKU026,A026_1,DUP_26,train
SKU027,A027_1,DUP_27,train
SKU028,A028_1,DUP_27,train
SKU029,A029_1,DUP_29,val
SKU030,A030_1,DUP_30,train
SKU030,A030_2,DUP_30,train
