contribution_id,member,task_id,artifact_path,branch,commit_sha,pr_url,author_action,execution_command,execution_status,reviewer,review_status,evidence_id,ai_assistance,notes
CL-001,guillermocarvajalvaca-dev,ACK-001,docs/governance/04_EXECUTION_BRIEFS/GUILLERMO_EXECUTION_BRIEF.md,,,https://github.com/guillermocarvajalvaca-dev/project-amarketboundingboxes/issues/3,ACKNOWLEDGED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,Acuse de recibo del paquete gobernante y del brief individual. Comentario propio en issue #3 el 2026-08-16T16:25:48Z. El acuse no acredita implementacion.
CL-002,andrespoiche,ACK-001,docs/governance/04_EXECUTION_BRIEFS/ANDRES_EXECUTION_BRIEF.md,,,https://github.com/guillermocarvajalvaca-dev/project-amarketboundingboxes/issues/3,ACKNOWLEDGED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,Acuse de recibo del paquete gobernante y del brief individual. Comentario en issue #3 el 2026-08-16T16:55:49Z. El acuse no acredita implementacion.
CL-003,mbarbacardozo,ACK-001,docs/governance/04_EXECUTION_BRIEFS/MONSERRAT_EXECUTION_BRIEF.md,,,https://github.com/guillermocarvajalvaca-dev/project-amarketboundingboxes/issues/3,ACKNOWLEDGED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,Acuse de recibo del paquete gobernante y del brief individual. Comentario en issue #3 el 2026-08-16T17:06:44Z. El acuse no acredita implementacion.
CL-004,pablolinares1801,ACK-001,docs/governance/04_EXECUTION_BRIEFS/PABLO_EXECUTION_BRIEF.md,,,https://github.com/guillermocarvajalvaca-dev/project-amarketboundingboxes/issues/3,ACKNOWLEDGED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,Acuse de recibo del paquete gobernante y del brief individual. Comentario en issue #3 el 2026-08-16T17:13:43Z. Issue #3 cerrado el 2026-08-17T19:26:16Z con los cuatro acuses. El acuse no acredita implementacion.
CL-005,guillermocarvajalvaca-dev,GOV-001,docs/decisions/ADR-003_LIVE_LEDGERS_OUTSIDE_FROZEN_PACKAGE.md; docs/evidence/EVIDENCE_LEDGER.csv; docs/evidence/2026-08-16_main_protection_test.md,chore/gov-001-protection-test,d1bde3f5b69ddca0edd555e4238e7762e42eeb1d,https://github.com/guillermocarvajalvaca-dev/project-amarketboundingboxes/pull/8,AUTHORED_MERGED,gh api repos/guillermocarvajalvaca-dev/project-amarketboundingboxes/branches/main/protection,EXECUTED,mbarbacardozo,APPROVED,EV-G1-001,CO_AUTHOR_TRAILER: Claude Opus 5,PR #8 con 3 commits fusionado el 2026-08-16T22:47:51Z; commit_sha es el merge commit. Ejecucion con exit code 0 registrada en EV-G1-001.
CL-006,mbarbacardozo,GOV-001,docs/evidence/2026-08-16_main_protection_test.md,chore/gov-001-protection-test,d1bde3f5b69ddca0edd555e4238e7762e42eeb1d,https://github.com/guillermocarvajalvaca-dev/project-amarketboundingboxes/pull/8,REVIEWED,NOT_APPLICABLE,NOT_RUN,mbarbacardozo,APPROVED,EV-G1-001,NOT_APPLICABLE,Revision independiente del PR #8 de guillermocarvajalvaca-dev. APPROVED el 2026-08-16T22:41:18Z. En filas REVIEWED member y reviewer coinciden: la contribucion registrada es la revision.
CL-007,guillermocarvajalvaca-dev,ENV-001,docs/ENVIRONMENT.md; requirements.txt,chore/env-001,ecccd44bb3457a85c3e54a5ccd079cdc28d0445b,https://github.com/guillermocarvajalvaca-dev/project-amarketboundingboxes/pull/10,AUTHORED_MERGED,python -m pip install -r requirements.txt,NOT_RUN,pablolinares1801,APPROVED,,CO_AUTHOR_TRAILER: Claude Opus 5,PR #10 con 1 commit fusionado el 2026-08-16T21:26:10Z; commit_sha es el merge commit. docs/ENVIRONMENT.md declara verificacion en venv limpio el 2026-08-16; no reejecutada en GOV-002.
CL-008,pablolinares1801,ENV-001,docs/ENVIRONMENT.md; requirements.txt,chore/env-001,ecccd44bb3457a85c3e54a5ccd079cdc28d0445b,https://github.com/guillermocarvajalvaca-dev/project-amarketboundingboxes/pull/10,REVIEWED,NOT_APPLICABLE,NOT_RUN,pablolinares1801,APPROVED,,NOT_APPLICABLE,Revision independiente del PR #10 de guillermocarvajalvaca-dev. APPROVED el 2026-08-16T21:06:42Z. Merge commit ecccd44 firmado por la identidad Git de Pablo Linares.
CL-009,pablolinares1801,TRN-001,src/train.py; src/evaluate.py; configs/baseline.yaml; tests/test_train_evaluate_cli.py; tests/generate_fixture.py,feat/pablo/TRN-001-train-evaluate-cli,cd4453415717e59288e1bd404b08990a43ff177e,https://github.com/guillermocarvajalvaca-dev/project-amarketboundingboxes/pull/12,AUTHORED_MERGED,NOT_APPLICABLE,NOT_RUN,guillermocarvajalvaca-dev,APPROVED,,CO_AUTHOR_TRAILER: Claude Opus 4.7,PR #12 con 1 commit (91b1527) fusionado el 2026-08-16T22:16:30Z; commit_sha es el merge commit. CLI contra dataset de fixture; no es entrenamiento de G4 y no abre G4. Sin ejecucion registrada en el evidence ledger.
CL-010,guillermocarvajalvaca-dev,TRN-001,src/train.py; src/evaluate.py,feat/pablo/TRN-001-train-evaluate-cli,cd4453415717e59288e1bd404b08990a43ff177e,https://github.com/guillermocarvajalvaca-dev/project-amarketboundingboxes/pull/12,REVIEWED,NOT_APPLICABLE,NOT_RUN,guillermocarvajalvaca-dev,APPROVED,,NOT_APPLICABLE,Revision independiente del PR #12 de pablolinares1801. APPROVED el 2026-08-16T22:13:31Z. Coincide con el revisor MOD-002/EVA-001 de la matriz RACI.
CL-011,mbarbacardozo,SCR-001,src/scraper_extraction.py; configs/data_sources.yaml; tests/test_scraper_extraction.py; data/manifests/source_assets.csv; data/manifests/scrape_rejections.csv,feat/monserrat/SCR-001-scraper-extraction,d63f152c6c9a3578533c5bf54ec8861c7537baeb,https://github.com/guillermocarvajalvaca-dev/project-amarketboundingboxes/pull/11,AUTHORED_PR_OPEN,NOT_APPLICABLE,NOT_RUN,guillermocarvajalvaca-dev; andrespoiche,CHANGES_REQUESTED,,NONE_DECLARED,PR #11 ABIERTO al 2026-08-18; no fusionado. commit_sha es el commit tip de la rama (9 commits propios). La autora reporta 13/13 tests y smoke test --limit 3 con exit code 0 en issue #4 (2026-08-16T22:06:26Z); no reejecutado ni verificado en GOV-002. NO se acredita trabajo terminado mientras el PR siga abierto.
CL-012,guillermocarvajalvaca-dev,SCR-001,src/scraper_extraction.py,feat/monserrat/SCR-001-scraper-extraction,d63f152c6c9a3578533c5bf54ec8861c7537baeb,https://github.com/guillermocarvajalvaca-dev/project-amarketboundingboxes/pull/11,REVIEWED,NOT_APPLICABLE,NOT_RUN,guillermocarvajalvaca-dev,CHANGES_REQUESTED,,NOT_APPLICABLE,Revision del PR #11 de mbarbacardozo. CHANGES_REQUESTED el 2026-08-16T21:55:24Z. Es el reviewDecision vigente del PR.
CL-013,andrespoiche,SCR-001,src/scraper_extraction.py,feat/monserrat/SCR-001-scraper-extraction,d63f152c6c9a3578533c5bf54ec8861c7537baeb,https://github.com/guillermocarvajalvaca-dev/project-amarketboundingboxes/pull/11,REVIEWED,NOT_APPLICABLE,NOT_RUN,andrespoiche,APPROVED,,NOT_APPLICABLE,Revision independiente del PR #11 el 2026-08-17T03:55:57Z. Es el revisor DAT-002 de la matriz RACI. Su APPROVED no levanta el CHANGES_REQUESTED de CL-012.
CL-014,andrespoiche,BOX-001,src/data/make_boxes.py; tests/test_make_boxes.py; tests/test_box_audit.py; scripts/generate_box_audit_sample.py; docs/evidence/BOX-001_STATUS.md,feat/andres/BOX-001-make-boxes,17c4ac3ecdf0dd660e0255a30602d00e621f73e7,https://github.com/guillermocarvajalvaca-dev/project-amarketboundingboxes/pull/18,AUTHORED_MERGED,NOT_APPLICABLE,NOT_RUN,mbarbacardozo,APPROVED,,NONE_DECLARED,PR #18 con 14 commits propios fusionado el 2026-08-19T01:55:41Z; commit_sha es el merge commit. Commit final revisado 1863900. Cierra el issue #5 BOX-001 (CLOSED/COMPLETED el 2026-08-19T01:55:42Z). Aprobacion final de mbarbacardozo el 2026-08-19T00:51:56Z declarando 19/19 tests PASSED y exit code 0 sobre 1863900: es reproduccion de la revisora citada desde el cuerpo de su review; no ejecucion de GOV-002 ni prueba reportada por el autor. Sin fila propia en docs/evidence/EVIDENCE_LEDGER.csv.
CL-015,mbarbacardozo,BOX-001,src/data/make_boxes.py,feat/andres/BOX-001-make-boxes,18639004dc61e15e96c2251a0ae99d4f9b9f4f1a,https://github.com/guillermocarvajalvaca-dev/project-amarketboundingboxes/pull/18,REVIEWED,NOT_APPLICABLE,NOT_RUN,mbarbacardozo,APPROVED,,NOT_APPLICABLE,Revision independiente del PR #18 de andrespoiche en tres pasos: CHANGES_REQUESTED 2026-08-17T04:28:15Z; DISMISSED 2026-08-18T02:18:34Z; APPROVED 2026-08-19T00:51:56Z. Es la revisora BOX-001 de la matriz RACI.
CL-016,pablolinares1801,RPT-001,informe/main.tex; notebooks/analisis_errores.ipynb,docs/pablo/informe-notebook-reproducibilidad,01361a10d51a714fc10070a511808f741de9964b,https://github.com/guillermocarvajalvaca-dev/project-amarketboundingboxes/pull/20,AUTHORED_PR_OPEN,NOT_APPLICABLE,NOT_RUN,,REVIEW_REQUIRED,,NONE_DECLARED,PR #20 ABIERTO al 2026-08-18 sin ninguna revision registrada; no fusionado. commit_sha es el unico commit de la rama. Toca informe/ y el notebook EVA-002; ver CODEOWNERS ajustado en GOV-002 para garantizar revisor independiente. NO se acredita trabajo terminado.
CL-017,guillermocarvajalvaca-dev,GOV-002,docs/decisions/LIVE_DECISION_REGISTER.md,,,https://github.com/guillermocarvajalvaca-dev/project-amarketboundingboxes/issues/4,DECIDED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,Decision del coordinador que cierra O-001 y O-007. Comentario en issue #4 el 2026-08-16T23:03:44Z. Registrada como LD-001 y LD-003.
