scene_id,difficulty,n_products,seed,status,product_ids,output_image,output_label
SYN_0001,basic,2,42001,PLANNED,,,
SYN_0002,basic,2,42002,PLANNED,,,
SYN_0003,basic,2,42003,PLANNED,,,
SYN_0004,basic,2,42004,PLANNED,,,
SYN_0005,basic,2,42005,PLANNED,,,
SYN_0006,basic,2,42006,PLANNED,,,
SYN_0007,basic,2,42007,PLANNED,,,
SYN_0008,basic,2,42008,PLANNED,,,
SYN_0009,basic,2,42009,PLANNED,,,
SYN_0010,basic,2,42010,PLANNED,,,
SYN_0011,basic,2,42011,PLANNED,,,
SYN_0012,basic,2,42012,PLANNED,,,
SYN_0013,basic,2,42013,PLANNED,,,
SYN_0014,basic,2,42014,PLANNED,,,
SYN_0015,basic,2,42015,PLANNED,,,
SYN_0016,basic,2,42016,PLANNED,,,
SYN_0017,basic,2,42017,PLANNED,,,
SYN_0018,basic,2,42018,PLANNED,,,
SYN_0019,basic,2,42019,PLANNED,,,
SYN_0020,basic,2,42020,PLANNED,,,
SYN_0021,basic,2,42021,PLANNED,,,
SYN_0022,basic,2,42022,PLANNED,,,
SYN_0023,basic,2,42023,PLANNED,,,
SYN_0024,basic,2,42024,PLANNED,,,
SYN_0025,basic,2,42025,PLANNED,,,
SYN_0026,basic,2,42026,PLANNED,,,
SYN_0027,basic,2,42027,PLANNED,,,
SYN_0028,basic,2,42028,PLANNED,,,
SYN_0029,basic,2,42029,PLANNED,,,
SYN_0030,basic,2,42030,PLANNED,,,
SYN_0031,basic,2,42031,PLANNED,,,
SYN_0032,basic,2,42032,PLANNED,,,
SYN_0033,basic,2,42033,PLANNED,,,
SYN_0034,basic,2,42034,PLANNED,,,
SYN_0035,basic,2,42035,PLANNED,,,
SYN_0036,basic,2,42036,PLANNED,,,
SYN_0037,basic,2,42037,PLANNED,,,
SYN_0038,basic,2,42038,PLANNED,,,
SYN_0039,basic,2,42039,PLANNED,,,
SYN_0040,basic,2,42040,PLANNED,,,
SYN_0041,basic,2,42041,PLANNED,,,
SYN_0042,basic,2,42042,PLANNED,,,
SYN_0043,basic,2,42043,PLANNED,,,
SYN_0044,basic,2,42044,PLANNED,,,
SYN_0045,basic,2,42045,PLANNED,,,
SYN_0046,basic,2,42046,PLANNED,,,
SYN_0047,basic,2,42047,PLANNED,,,
SYN_0048,basic,2,42048,PLANNED,,,
SYN_0049,basic,2,42049,PLANNED,,,
SYN_0050,basic,2,42050,PLANNED,,,
SYN_0051,basic,2,42051,PLANNED,,,
SYN_0052,basic,2,42052,PLANNED,,,
SYN_0053,basic,2,42053,PLANNED,,,
SYN_0054,basic,2,42054,PLANNED,,,
SYN_0055,basic,2,42055,PLANNED,,,
SYN_0056,basic,2,42056,PLANNED,,,
SYN_0057,basic,2,42057,PLANNED,,,
SYN_0058,basic,2,42058,PLANNED,,,
SYN_0059,basic,2,42059,PLANNED,,,
SYN_0060,basic,2,42060,PLANNED,,,
SYN_0061,basic,2,42061,PLANNED,,,
SYN_0062,basic,2,42062,PLANNED,,,
SYN_0063,basic,2,42063,PLANNED,,,
SYN_0064,basic,2,42064,PLANNED,,,
SYN_0065,basic,2,42065,PLANNED,,,
SYN_0066,basic,2,42066,PLANNED,,,
SYN_0067,basic,2,42067,PLANNED,,,
SYN_0068,basic,2,42068,PLANNED,,,
SYN_0069,basic,2,42069,PLANNED,,,
SYN_0070,basic,2,42070,PLANNED,,,
SYN_0071,basic,2,42071,PLANNED,,,
SYN_0072,basic,2,42072,PLANNED,,,
SYN_0073,basic,2,42073,PLANNED,,,
SYN_0074,basic,2,42074,PLANNED,,,
SYN_0075,basic,2,42075,PLANNED,,,
SYN_0076,basic,2,42076,PLANNED,,,
